sku,name,category,price,stock,description,image_url
MASS-XSEMKI,Recusandae Ullam Pro 78,Hogar,51.64,47,Neque vel rem dolorum facilis esse aliquam error iure amet.,https://picsum.photos/seed/491/400/300
MASS-T2A8HH,Optio Asperiores Pro 79,Deportes,924.87,44,Animi eos aut fugiat corporis saepe nulla voluptatibus mollitia odit enim.,https://picsum.photos/seed/401/400/300
MASS-I1UM53,Cumque Minus Pro 80,Libros,807.93,12,Quos natus rem reiciendis quisquam dicta tempore.,https://picsum.photos/seed/696/400/300
MASS-DOM54R,Sed Nemo Pro 81,Electrónica,288.68,9,Quos assumenda ratione quae quas esse fugiat porro voluptatibus doloribus.,https://picsum.photos/seed/479/400/300
MASS-QA8CA9,Explicabo Ipsam Pro 82,Hogar,343.67,27,Iure eum dignissimos quam et dolore blanditiis optio.,https://picsum.photos/seed/242/400/300
MASS-IKHXHI,Alias Cumque Pro 83,Ropa,911.98,11,Repellendus blanditiis aut necessitatibus aperiam explicabo.,https://picsum.photos/seed/40/400/300
MASS-NEUM9S,Odio Repudiandae Pro 84,Muebles,299.84,41,Officia excepturi amet atque sed eius temporibus labore porro aliquid consequuntur.,https://picsum.photos/seed/339/400/300
MASS-YZ4OX0,Illum Soluta Pro 85,Electrónica,506.66,36,Beatae recusandae exercitationem provident quis quo cupiditate consequatur.,https://picsum.photos/seed/442/400/300
MASS-OYVBCY,Quis Iste Pro 86,Libros,367.22,7,Pariatur blanditiis minima reiciendis ipsam expedita aperiam eveniet id veniam perferendis molestiae quos.,https://picsum.photos/seed/296/400/300
MASS-GF0THC,Atque Dolorum Pro 87,Electrónica,461.35,10,Cupiditate neque modi unde voluptatem quasi libero.,https://picsum.photos/seed/255/400/300
MASS-KH5UOH,Reprehenderit Unde Pro 88,Libros,112.9,16,Earum ducimus odit natus eius nesciunt necessitatibus odit velit nobis.,https://picsum.photos/seed/555/400/300
MASS-NRKW8G,Consectetur Enim Pro 89,Electrónica,471.16,7,Porro corrupti commodi provident maiores maxime.,https://picsum.photos/seed/997/400/300
MASS-CRFM76,Unde Quae Pro 90,Muebles,858.48,32,Sunt necessitatibus omnis cupiditate minus nobis facere delectus laudantium fuga assumenda error doloribus.,https://picsum.photos/seed/939/400/300
MASS-ZZ490I,Deserunt Culpa Pro 91,Ropa,702.06,30,Cumque quae voluptate quia ea tempora incidunt.,https://picsum.photos/seed/964/400/300
MASS-05VXKU,Est Quod Pro 92,Electrónica,648.4,6,Consequuntur commodi nemo esse in unde eum tenetur exercitationem nostrum.,https://picsum.photos/seed/864/400/300
MASS-945639,Necessitatibus Quis Pro 93,Hogar,908.12,19,Cupiditate labore repellat hic reprehenderit tenetur ex molestiae veniam pariatur voluptatibus asperiores officia.,https://picsum.photos/seed/629/400/300
MASS-BG6V6M,Quis Mollitia Pro 94,Hogar,497.62,34,Fugiat sequi voluptatum commodi doloremque est labore quod voluptas ea nam.,https://picsum.photos/seed/444/400/300
MASS-IXVHFG,Nihil Veritatis Pro 95,Muebles,380.56,42,Laborum magnam quis hic veritatis temporibus ipsa recusandae nihil nisi exercitationem.,https://picsum.photos/seed/912/400/300
MASS-V7VNAC,Reprehenderit Illum Pro 96,Electrónica,780.66,6,Consequatur nulla esse excepturi laborum a illo ipsum.,https://picsum.photos/seed/84/400/300
MASS-0L05U2,Dignissimos Libero Pro 97,Electrónica,322.57,39,Saepe veniam assumenda quia nisi aliquam nam repudiandae earum non temporibus corporis.,https://picsum.photos/seed/615/400/300
MASS-YJQFDT,Voluptatibus Placeat Pro 98,Ropa,847.88,43,Quae occaecati a ipsa voluptatem laborum non ipsam quo ut.,https://picsum.photos/seed/445/400/300
MASS-KKBZNV,Impedit Occaecati Pro 99,Ropa,260.72,31,Est totam itaque eveniet in ipsum dignissimos.,https://picsum.photos/seed/813/400/300
MASS-NWCLJ2,Earum Quasi Pro 100,Electrónica,539.76,34,Consectetur debitis enim odit exercitationem dolorum.,https://picsum.photos/seed/261/400/300
MASS-8P81IT,Ipsum Est Pro 101,Electrónica,238.79,33,Labore vero id ex aperiam labore at facilis autem quia velit et.,https://picsum.photos/seed/961/400/300
MASS-ACFMVY,A Est Pro 102,Deportes,57.78,45,Ipsa beatae delectus totam consequuntur tempora odio optio.,https://picsum.photos/seed/369/400/300
MASS-HII75Q,Sapiente Corrupti Pro 103,Hogar,967.67,23,Sit quaerat commodi tenetur doloribus laborum omnis nam eligendi incidunt occaecati nulla.,https://picsum.photos/seed/939/400/300
MASS-R67BT6,Quasi Atque Pro 104,Deportes,574.2,13,Quasi non laborum eligendi impedit ea ratione.,https://picsum.photos/seed/891/400/300
MASS-IMABCF,Quisquam Saepe Pro 105,Libros,306.47,50,Non tempora molestiae magnam ab a sed.,https://picsum.photos/seed/41/400/300
MASS-1JIZ6S,Pariatur Quisquam Pro 106,Deportes,801.29,25,Nulla impedit libero fuga nihil itaque quod illum est ex debitis ea ducimus.,https://picsum.photos/seed/898/400/300
MASS-DVNSE4,In Cupiditate Pro 107,Electrónica,226.7,20,Debitis rerum temporibus repellendus alias quasi expedita modi quis ipsum asperiores.,https://picsum.photos/seed/179/400/300
MASS-ENITRX,Autem Distinctio Pro 108,Electrónica,868.0,6,Voluptatem sequi blanditiis non sit debitis aliquid nesciunt reprehenderit.,https://picsum.photos/seed/40/400/300
MASS-DT0WWV,Iusto Eos Pro 109,Libros,565.43,6,Libero eos reprehenderit inventore cum facilis suscipit occaecati vitae earum quidem.,https://picsum.photos/seed/309/400/300
MASS-99X6NU,Quos Excepturi Pro 110,Electrónica,865.23,48,Deleniti et libero perferendis doloribus quos nam veritatis ratione.,https://picsum.photos/seed/601/400/300
MASS-KH35NC,Expedita Dolores Pro 111,Electrónica,419.42,35,Amet quae sunt aperiam fugiat occaecati iste magnam.,https://picsum.photos/seed/241/400/300
MASS-5C4U2X,Nostrum Incidunt Pro 112,Ropa,896.45,10,Voluptate vitae consectetur optio maxime similique veritatis deleniti.,https://picsum.photos/seed/101/400/300
MASS-G4LVW9,Laboriosam Necessitatibus Pro 113,Electrónica,934.76,21,Blanditiis officia porro velit provident natus assumenda.,https://picsum.photos/seed/62/400/300
MASS-JRROM3,Distinctio Veniam Pro 114,Ropa,251.94,14,Velit eaque id laborum explicabo odio labore veniam.,https://picsum.photos/seed/6/400/300
MASS-NBAV04,Quidem Dolorem Pro 115,Electrónica,63.2,32,Dolores earum ratione provident distinctio odit architecto blanditiis dolorum quod fugiat dolor.,https://picsum.photos/seed/74/400/300
MASS-OCK1IX,Quas Quidem Pro 116,Muebles,627.3,15,Cumque consequatur iusto cumque aut suscipit doloribus nobis.,https://picsum.photos/seed/888/400/300
MASS-7DKCAN,Tempore Fugit Pro 117,Hogar,664.83,38,Omnis quis labore odio occaecati autem eaque qui.,https://picsum.photos/seed/850/400/300
MASS-8PNMTY,Sint Eligendi Pro 118,Muebles,868.79,27,Quasi fuga similique quia quo quaerat est tenetur odio accusamus optio laborum.,https://picsum.photos/seed/732/400/300
MASS-YXE6P1,Quasi Laborum Pro 119,Muebles,218.76,21,Nobis excepturi corporis esse repudiandae veritatis laudantium in fugit.,https://picsum.photos/seed/676/400/300
MASS-AX0KTD,Et Omnis Pro 120,Deportes,931.51,41,Beatae possimus eius officia deserunt molestias eligendi eveniet eligendi.,https://picsum.photos/seed/4/400/300
MASS-6PNGMW,Autem Est Pro 121,Ropa,758.5,19,Dolores amet saepe adipisci ut quos culpa consequuntur suscipit mollitia aliquam.,https://picsum.photos/seed/369/400/300
MASS-Y51EB8,Nihil Minus Pro 122,Muebles,325.25,40,Nulla natus provident quaerat aperiam dicta nulla voluptatibus autem sapiente dicta quisquam dolor.,https://picsum.photos/seed/485/400/300
MASS-VZPGLT,Tenetur Est Pro 123,Hogar,711.68,43,Saepe error est minima a maiores eos optio vero totam reiciendis.,https://picsum.photos/seed/985/400/300
MASS-SK9AI2,Provident Nemo Pro 124,Deportes,943.9,33,Sapiente omnis culpa aliquid tenetur aspernatur.,https://picsum.photos/seed/783/400/300
MASS-B9FFPV,Dignissimos Aliquid Pro 125,Hogar,814.62,5,Maiores earum asperiores assumenda enim quam nostrum reprehenderit at magni facere.,https://picsum.photos/seed/643/400/300
MASS-CX2BUR,Quasi Ad Pro 126,Deportes,61.6,6,Voluptates facere quam cum deserunt molestias veritatis.,https://picsum.photos/seed/187/400/300
MASS-U1QRIJ,Accusantium Fugit Pro 127,Libros,667.83,10,Assumenda vitae aperiam iste adipisci commodi voluptatum deserunt ducimus.,https://picsum.photos/seed/214/400/300
MASS-8I37XW,Aliquid Consequatur Pro 128,Ropa,735.48,11,Vel nostrum beatae cum nesciunt blanditiis ducimus in deserunt.,https://picsum.photos/seed/309/400/300
MASS-HQK8RR,Occaecati Provident Pro 129,Libros,265.45,41,Quia numquam iusto dolorum hic doloribus sint porro aut non aspernatur optio maxime.,https://picsum.photos/seed/580/400/300
MASS-X1EIOV,Libero Quasi Pro 130,Hogar,914.46,48,Nam doloremque aperiam earum reiciendis in reiciendis.,https://picsum.photos/seed/320/400/300
MASS-6JQYPK,Dolorem Occaecati Pro 131,Ropa,892.7,25,Corporis enim facilis laudantium laudantium aperiam.,https://picsum.photos/seed/141/400/300
MASS-7OSA5A,Sapiente Ex Pro 132,Electrónica,623.86,15,Perspiciatis sed architecto ut blanditiis cumque libero alias omnis itaque incidunt.,https://picsum.photos/seed/697/400/300
MASS-Z9THE2,Nam Assumenda Pro 133,Muebles,574.75,27,Consequatur nulla animi fugit dicta odit.,https://picsum.photos/seed/88/400/300
MASS-KSLLXE,Dolorum Voluptas Pro 134,Ropa,169.15,40,Veniam dicta enim similique enim laborum vero a odit.,https://picsum.photos/seed/28/400/300
MASS-52A47Q,Ut Asperiores Pro 135,Ropa,256.3,39,Unde et ipsum eius consectetur occaecati ipsa itaque ipsam totam.,https://picsum.photos/seed/194/400/300
MASS-NPUEBQ,Culpa Odio Pro 136,Hogar,91.91,38,Accusamus saepe quis enim veritatis impedit ad odit minima dolor sequi ad.,https://picsum.photos/seed/432/400/300
MASS-4XLJIQ,Impedit Labore Pro 137,Ropa,521.0,29,Consectetur provident dignissimos quibusdam facere optio dolores at mollitia sint quod quis.,https://picsum.photos/seed/127/400/300
MASS-H5YGDG,Dolorem Voluptatum Pro 138,Hogar,445.2,14,Sunt dolor temporibus ratione illo veritatis quasi pariatur delectus itaque.,https://picsum.photos/seed/75/400/300
MASS-XQP4I3,Quae Omnis Pro 139,Hogar,731.51,14,Facilis laudantium tenetur ipsa unde cumque saepe alias libero eveniet delectus ipsam.,https://picsum.photos/seed/888/400/300
MASS-PGM4OQ,Nihil Reprehenderit Pro 140,Hogar,693.66,13,Voluptatum id ea incidunt dignissimos ipsa nihil sequi quia temporibus aut ad sit.,https://picsum.photos/seed/865/400/300
MASS-6268GQ,Officia Ullam Pro 141,Electrónica,138.34,19,Voluptates molestias modi itaque quos iusto odit consequuntur quae excepturi ratione cumque.,https://picsum.photos/seed/480/400/300
MASS-A2ZQYI,Nam Atque Pro 142,Hogar,484.47,31,Facere quidem laudantium corrupti perferendis ipsum iusto nihil iure.,https://picsum.photos/seed/108/400/300
MASS-LMTSC9,Voluptatum Nobis Pro 143,Libros,244.92,16,Reprehenderit cum quos minus tempore voluptate velit ab quia cumque magni accusantium ex.,https://picsum.photos/seed/483/400/300
MASS-EZCM4N,Voluptas Sunt Pro 144,Electrónica,429.48,47,Ducimus ipsum modi amet tempora aperiam.,https://picsum.photos/seed/179/400/300
MASS-1FPM4E,Consequuntur Quis Pro 145,Electrónica,166.32,11,Placeat cupiditate unde voluptatum vel suscipit accusamus sapiente doloribus commodi cupiditate delectus temporibus.,https://picsum.photos/seed/334/400/300
MASS-3YLLTL,Quasi Dolorum Pro 146,Muebles,158.65,48,Reiciendis aut magni tempore eos quod nemo omnis ut eos.,https://picsum.photos/seed/472/400/300
MASS-8KBL07,Officia Modi Pro 147,Electrónica,338.15,46,Dolorum officiis consequatur reprehenderit voluptas doloremque totam.,https://picsum.photos/seed/292/400/300
MASS-R9XSTI,Beatae Temporibus Pro 148,Ropa,994.14,36,Praesentium placeat reprehenderit suscipit molestias soluta blanditiis.,https://picsum.photos/seed/603/400/300
MASS-ZO4QUB,Aut Voluptates Pro 149,Muebles,459.07,15,Accusamus dolores rem porro exercitationem placeat fugit et beatae architecto nostrum ab.,https://picsum.photos/seed/494/400/300
MASS-HA3BXQ,Blanditiis Aliquid Pro 150,Muebles,275.8,31,Quas dolore praesentium totam saepe ipsum id aliquam.,https://picsum.photos/seed/324/400/300
MASS-29I06Y,Quam Eos Pro 151,Libros,548.48,40,Officiis fuga dolorum et consequatur illum error neque similique vero nulla nam atque.,https://picsum.photos/seed/606/400/300
MASS-ZZLPY5,Nostrum Consectetur Pro 152,Hogar,269.66,21,Ut provident ab aliquam repellat eligendi odio nihil maxime rerum.,https://picsum.photos/seed/462/400/300
MASS-RTTG8Y,Vero Natus Pro 153,Ropa,215.96,20,Occaecati praesentium distinctio eos autem deleniti eaque earum eaque.,https://picsum.photos/seed/493/400/300
MASS-TCY50D,Quis Modi Pro 154,Electrónica,227.69,27,Quidem sint corporis optio repellat voluptas laborum recusandae id id nulla consequatur excepturi.,https://picsum.photos/seed/287/400/300
MASS-JDT3ZZ,Quis Aliquid Pro 155,Libros,564.11,44,Vero sed magnam molestias repellendus nam voluptate quae repellat recusandae quidem in dolore.,https://picsum.photos/seed/562/400/300
MASS-NCNPVX,Eligendi Laudantium Pro 156,Muebles,259.4,7,Distinctio aut explicabo voluptatem cumque consequatur consequatur minima illum veniam.,https://picsum.photos/seed/949/400/300
MASS-O2AHWV,Maxime Quas Pro 157,Electrónica,335.78,17,Ratione blanditiis possimus quam in architecto laboriosam cumque consequuntur.,https://picsum.photos/seed/146/400/300
MASS-H90Q1Q,Numquam Velit Pro 158,Muebles,557.84,40,Esse fugit explicabo odio accusamus cupiditate fugiat eum quos.,https://picsum.photos/seed/702/400/300
MASS-0POWU4,Doloremque Accusamus Pro 159,Deportes,353.33,13,Ea distinctio vitae ducimus ipsum ipsum voluptates sunt aperiam necessitatibus provident.,https://picsum.photos/seed/18/400/300
MASS-5I86OC,Ratione Dolorum Pro 160,Hogar,863.44,30,Doloribus unde illo cum dignissimos atque saepe optio optio distinctio quod accusamus deserunt eum.,https://picsum.photos/seed/892/400/300
MASS-F359EX,In Odit Pro 161,Ropa,834.16,9,Ex maxime quo magni odit culpa enim tenetur quod.,https://picsum.photos/seed/812/400/300
MASS-EI9VYP,Ad Voluptatem Pro 162,Electrónica,283.37,33,Velit eligendi reiciendis ipsum molestiae ipsum molestias sapiente itaque qui reprehenderit.,https://picsum.photos/seed/172/400/300
